magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.7,8.0,5.0,935.0,0.0,,12.0,110.0,,120.713,2021.0,7.0,1
6.7,6.0,6.0,830.0,0.0,1.395,61.0,,7.5904,-82.8813,2021.0,7.0,1
6.5,0.0,4.0,650.0,0.0,7.994,24.0,25.0,-30.2144,-177.773,,6.0,1
,5.0,7.0,652.0,,4.518,44.0,10.0,-16.4796,-177.356,2021.0,5.0,1
7.3,9.0,9.0,1025.0,0.0,4.655,9.0,10.0,34.5861,98.2551,2021.0,5.0,0
6.7,8.0,4.0,698.0,0.0,1.487,37.0,11.0,0.1684,96.6475,2021.0,5.0,0
6.7,9.0,3.0,694.0,0.0,10.669,45.0,10.0,-17.2495,,2021.0,5.0,0
6.9,7.0,6.0,919.0,0.0,2.619,35.0,43.0,38.2296,141.665,2021.0,5.0,1
6.5,4.0,4.0,651.0,0.0,5.931,20.0,246.0,-21.6857,-177.064,2021.0,4.0,0
6.5,6.0,4.0,652.0,0.0,10.405,19.0,301.0,-18.9204,-176.235,2021.0,4.0,0
7.0,7.0,7.0,1052.0,0.0,2.378,35.0,43.0,38.4752,141.607,2021.0,3.0,1
6.6,5.0,5.0,672.0,0.0,,18.0,13.23,54.7018,163.208,2021.0,3.0,1
6.5,0.0,4.0,650.0,0.0,11.764,25.0,24.0,-28.4792,-176.619,2021.0,3.0,0
8.1,9.0,8.0,1021.0,0.0,0.739,,28.93,-29.7466,-177.224,2021.0,3.0,1
,3.0,7.0,843.0,0.0,0.437,30.0,43.0,-29.6131,-177.842,2021.0,3.0,1
7.3,7.0,6.0,,0.0,0.918,24.0,10.0,-37.596,179.544,2021.0,3.0,1
7.1,9.0,8.0,1612.0,0.0,,11.0,43.98,37.6856,141.992,2021.0,2.0,1
7.7,9.0,4.0,918.0,0.0,7.989,15.0,10.0,-23.2787,171.489,2021.0,2.0,1
6.9,9.0,5.0,739.0,0.0,1.55,16.0,15.0,-61.8484,-55.559,2021.0,1.0,1
7.0,7.0,5.0,802.0,0.0,,15.0,80.0,,127.517,2021.0,1.0,1
6.7,8.0,8.0,776.0,0.0,2.043,22.0,10.0,51.2407,100.443,2021.0,1.0,0
6.7,5.0,5.0,,0.0,1.319,19.0,10.0,-39.3264,-74.9067,2020.0,12.0,1
7.0,8.0,7.0,1527.0,0.0,1.518,18.0,21.0,37.8973,26.7953,2020.0,10.0,0
7.6,9.0,7.0,1165.0,0.0,0.23,36.0,,54.662,-159.675,2020.0,10.0,1
6.9,0.0,3.0,732.0,0.0,11.255,16.0,10.0,0.9604,-26.8332,2020.0,9.0,1
6.5,6.0,6.0,674.0,,0.388,49.0,16.0,-27.9285,-71.3937,2020.0,9.0,0
6.8,6.0,7.0,824.0,0.0,0.312,69.0,21.0,-28.013,-71.1958,2020.0,9.0,1
